	id	tcp	datarate	packetsize	verbose	rng	thr
0	dfcfe768-9de0-4ec6-ba24-8b65e7fca37c	False	10	1000	True	113	20.542
1	b526fbdf-6bff-4b3e-9263-5b9418ccad15	False	10	1000	True	119	20.5518
2	ec90f839-37b4-4912-85a9-a7bb3f13afdc	False	15	1000	True	124	30.820300000000003
3	598fb5ae-b4c7-455b-9aa9-8d71f86f83d4	False	20	1000	True	138	41.1003
4	964ca2d3-1231-4734-b97d-c702ccdf98da	False	30	1000	True	158	61.6207
5	52d95045-c45a-4141-aebd-fa7fd6684a3f	False	45	1000	True	181	92.446
6	078fba9b-37f5-4af7-b544-7805eb16a203	False	45	1000	True	189	92.423
7	42283efe-356f-437d-9ded-1e8b6d4b6031	False	35	1000	True	167	71.92869999999999
8	ec0ed5af-4e2a-4cf8-8d4e-45d6aa16f331	True	15	1000	True	21	33.1205
9	f4152d63-dfa6-41cf-917d-20def8bad23d	True	20	1000	True	35	44.156800000000004
10	b943f13c-1641-4aa2-907c-a337d758b7bc	False	45	1000	True	186	92.39500000000001
11	ce3cb2be-df4c-4dc5-a97a-1bafd10212e0	True	5	1000	True	8	11.03706
12	4dbe8632-7cb4-4c48-b1ab-b3a6f63a194e	False	10	1000	True	114	20.5321
13	0ad8aeeb-2e00-4e68-885c-ab995de759b8	True	30	1000	True	50	66.2361
14	fcdb6715-c055-4590-a6dd-37745e97feec	False	50	1000	True	194	101.5484
15	529cc71c-1967-4f56-8e0f-fffbe379207c	True	40	1000	True	71	80.5629
16	5a79a61f-0c6c-4186-adf9-b8930161eeb1	True	45	1000	True	82	81.1146
17	33430c89-3d77-4880-9e57-8231e9864d83	True	25	1000	True	48	55.195
18	ce680f81-41f1-405f-9af9-713fe61a4437	True	35	1000	True	63	77.1237
19	36edbbf0-0535-4a3b-9d95-e4eebf05f865	False	50	1000	True	198	101.8592
20	cbf137a1-887d-4f3f-9f42-e5efb59e3fd9	True	45	1000	True	80	80.5343
21	85abe2a1-0219-446a-ae01-deee2806cc33	True	25	1000	True	40	55.194900000000004
22	26a0d70c-513d-4032-a4a8-81aa5f1a9424	True	15	1000	True	29	33.120400000000004
23	b9497abf-c5b7-44f0-9f99-dfe726ef6dfa	False	15	1000	True	121	30.8285
24	b2f6266c-0848-4203-9a68-af2a21a4e440	False	15	1000	True	122	30.825200000000002
25	bb603afd-1f31-408b-b15c-69b499c9c47f	False	45	1000	True	184	92.5118
26	6a585d1b-bf9d-421f-88f2-e249f8e4fc76	True	15	1000	True	25	33.1202
27	75e20dca-c08f-4708-8086-ce570508da99	True	5	1000	True	3	11.03714
28	4feb8d5e-5a42-4064-99e4-01f7d3ea6c19	False	35	1000	True	161	71.91720000000001
29	3172f0f0-6e08-4356-9ed3-a56caa83c4e9	True	15	1000	True	26	33.1202
30	f4182bb2-5933-4f78-8878-dc40416fc3d5	False	15	1000	True	128	30.8219
31	2d5c8cd8-5458-42f8-81da-2f85a2315351	False	40	1000	True	175	82.17750000000001
32	90374ea1-9c6c-424f-87d6-85cee269e70d	True	10	1000	True	15	22.076900000000002
33	bac126a4-03e8-4f6e-9c97-f23f90589fbe	False	5	1000	True	108	10.27672
34	b23440ba-e7f5-4d17-93af-7d16df50ba98	True	50	1000	True	94	80.8227
35	b8dd140e-0e36-4b01-bf5b-c146ca6c747b	False	30	1000	True	157	61.629000000000005
36	46c506c4-0573-4177-a3a9-f1f97de948cd	False	45	1000	True	185	92.43780000000001
37	268a271c-df1f-42b4-8e77-c9934999d788	False	10	1000	True	110	20.543599999999998
