	id	rtscts	datarate	packetsize	verbose	rng	thr1	rtr1	thr2	rtr2
128	7443da23-a735-476b-adf7-50b619682394	False	1.0	1000	True	75	1.02636	623	1.02636	0
129	cad05354-a628-4f20-b8ad-44c9894f56df	False	5.0	1000	True	96	0.524691	1074	5.13671	447
130	f0a3e044-2407-4676-8ccb-d908c30a67ee	False	5.0	1000	True	92	0.536205	1033	5.13507	439
131	42521032-b005-4cc1-a73d-2af67afc19b7	True	15.0	1000	True	58	7.61871	43	15.397	0
132	8e4710fb-b25b-4574-8f54-1caa04e6cc79	True	2.5	1000	True	18	2.56918	2	2.56918	0
133	003773e1-2da2-4020-86cb-a329b72ad08a	True	7.5	1000	True	35	7.70753	126	7.69766	0
134	5f4ae25b-cc42-42ee-9661-b8b097e4ce67	True	20.0	1000	True	66	0.731936	38	19.6537	0
135	d9bed025-34f3-4858-849e-8fde7ce378e4	False	10.0	1000	True	110	2.19416	1313	10.2027	1011
136	1ab18f65-3483-4ead-ade8-0a2602633da9	True	7.5	1000	True	34	7.69931	134	7.70918	0
137	3bdff08a-706e-4fa0-956b-dc3809908c86	False	15.0	1000	True	121	8.67139	1053	12.2883	736
138	9a0eb067-d0a7-416e-ad4b-dbba217328d9	True	20.0	1000	True	68	0.674368	58	19.6438	0
139	aede5915-684b-415c-82bc-77f1e422dfd8	True	10.0	1000	True	49	7.19764	90	10.2767	0
