	id	rtscts	datarate	packetsize	verbose	rng	thr1	pkl1	thr2	pkl2
37	13b2f241-45c1-426e-a732-518b879ae11e	False	2	100	True	246	2.2586 Mbps	11.7616 %	2.45999 Mbps	3.89385 %
38	a62f1c3f-51a4-47f0-a7c2-3b603ec7a389	False	5	1000	True	302	0.858037 Mbps	83.2978 %	2.7194 Mbps	47.0651 %
39	876c3645-55bc-47a4-badc-92fa7d4e2505	False	1	500	True	211	1.04896 Mbps	0.534045 %	1.04474 Mbps	0.934579 %
40	f3d5218f-701d-4dea-9856-f734e59f4b93	False	5	100	True	286	2.43575 Mbps	61.9393 %	2.2214 Mbps	65.2888 %
41	5c6f96bb-c2c4-4d63-a39b-f72dc8be6d2c	False	2	1000	True	269	1.43646 Mbps	30.0401 %	1.25279 Mbps	38.9853 %
42	2e7ce9c6-933d-429d-beac-16ab6b01f733	True	2	500	True	59	2.11059 Mbps	0 %	2.11059 Mbps	0 %
43	dada9c16-6eb2-4d9e-a7c5-cc3c0dd84d9b	True	10	1500	True	151	10.1581 Mbps	0.240096 %	10.1581 Mbps	0.240096 %
44	3e2ccec0-e87c-4f6b-bc94-38ee9ec12d53	True	5	500	True	96	5.26874 Mbps	0.186716 %	5.27718 Mbps	0.0266738 %
45	be8bed90-dd4e-457c-b02f-51a71f1da64e	True	2	500	True	55	2.10918 Mbps	0.0667111 %	2.10778 Mbps	0.133422 %
46	cbfb0d5a-9869-41b5-83aa-89d3c8377535	False	1	500	True	218	1.04755 Mbps	0.667557 %	1.04896 Mbps	0.534045 %
47	dbec4d43-fe5e-4575-8273-7c17345e838a	False	15	1500	True	395	1.06756 Mbps	93.0115 %	1.37724 Mbps	90.9843 %
48	aac1579d-48aa-4b7c-a4d3-00a5dcb897e7	True	5	100	True	87	1.6087 Mbps	74.8627 %	2.47159 Mbps	61.3793 %
49	b9e303fb-926e-4f4c-9c0c-587be5c22aa9	False	15	500	True	377	1.90221 Mbps	87.99 %	1.90784 Mbps	87.9545 %
50	4b60a98a-ac95-4101-aaa1-1e4dd00240dd	False	10	500	True	339	4.81818 Mbps	54.3672 %	1.55725 Mbps	85.2514 %
51	c0af2b0d-a679-464e-a54c-3ba0b54dd93e	True	1	1000	True	26	1.02526 Mbps	0 %	1.02526 Mbps	0 %
52	78675fc5-efe0-4dda-b2f8-c6e0a4e5fe73	False	2	1000	True	261	1.42823 Mbps	30.4406 %	1.27198 Mbps	38.0507 %
53	be296144-f576-4642-b4a0-d663e4531337	True	15	1000	True	189	8.3501 Mbps	45.8489 %	13.8876 Mbps	9.93778 %
54	8d405b20-756d-4f8e-a4e1-7f646cb8ae1b	True	1	500	True	15	1.05459 Mbps	0 %	1.05459 Mbps	0 %
55	90c915b7-f3a1-4a34-ba8e-a0502deb81a4	False	15	100	True	369	2.17361 Mbps	88.6791 %	2.44361 Mbps	87.2729 %
56	256081f6-7ae4-42e3-8389-049098011640	False	2	100	True	247	2.23198 Mbps	12.8017 %	2.39821 Mbps	6.30751 %
