	rtscts	standard	datarate	verbose	rng	thr1	pkl1	thr2	pkl2
0	False	1	2	True	21	0.0502578 Mbps	92.6569 %	0.275961 Mbps	59.6796 %
1	False	2	8	True	28	0.0310684 Mbps	98.8663 %	0.0484302 Mbps	98.2327 %
2	False	1	8	True	23	0.0694471 Mbps	97.4658 %	0.572025 Mbps	79.1264 %
3	False	1	1	True	20	0.169963 Mbps	50.2674 %	0.04112 Mbps	87.9679 %
4	True	0	1	True	0	0.341753 Mbps	0 %	0.341753 Mbps	0 %
5	True	2	1	True	10	0.331701 Mbps	2.94118 %	0.341753 Mbps	0 %
6	False	2	1	True	25	0.0292409 Mbps	91.4439 %	0.136153 Mbps	60.1604 %
7	True	1	2	True	6	0.42582 Mbps	37.7837 %	0.680764 Mbps	0.534045 %
8	False	1	4	True	22	0.512629 Mbps	62.5751 %	0.0356373 Mbps	97.3983 %
9	True	1	16	True	9	0.695385 Mbps	87.3146 %	0.546439 Mbps	90.0317 %
10	False	2	4	True	27	0.0146204 Mbps	98.9326 %	0.494354 Mbps	63.9093 %
11	True	1	4	True	7	0.615886 Mbps	55.0367 %	0.502578 Mbps	63.3089 %
12	False	0	4	True	17	0.296064 Mbps	78.3856 %	0.27322 Mbps	80.0534 %
13	False	0	16	True	19	0.244892 Mbps	95.5326 %	2.05052 Mbps	62.5938 %
14	True	1	1	True	5	0.341753 Mbps	0 %	0.338098 Mbps	1.06952 %
15	True	2	16	True	14	1.37249 Mbps	74.9625 %	1.38711 Mbps	74.6958 %
16	True	0	4	True	2	1.36701 Mbps	0.200133 %	1.35787 Mbps	0.867245 %
17	True	2	8	True	13	1.82299 Mbps	33.4778 %	0.860779 Mbps	68.5895 %
18	False	0	1	True	15	0.281444 Mbps	17.6471 %	0.283271 Mbps	17.1123 %
19	True	1	8	True	8	0.455061 Mbps	83.3945 %	0.710919 Mbps	74.058 %
20	True	2	4	True	12	1.2537 Mbps	8.47231 %	1.24913 Mbps	8.80587 %
21	False	2	2	True	26	0.25403 Mbps	62.8838 %	0.0383787 Mbps	94.3925 %
22	True	0	2	True	1	0.68442 Mbps	0 %	0.68442 Mbps	0 %
23	False	1	16	True	24	0.572025 Mbps	89.5649 %	0.105998 Mbps	98.0663 %
24	True	2	2	True	11	0.678023 Mbps	0.934579 %	0.68442 Mbps	0 %
25	False	0	2	True	16	0.310684 Mbps	54.6061 %	0.323477 Mbps	52.737 %
26	False	2	16	True	29	0.0255858 Mbps	99.5333 %	1.84218 Mbps	66.3944 %
27	False	0	8	True	18	1.12943 Mbps	58.7863 %	0.236668 Mbps	91.3638 %
28	True	0	8	True	3	2.74042 Mbps	0 %	2.73768 Mbps	0.100033 %
29	True	0	16	True	4	1.98381 Mbps	63.8106 %	4.9938 Mbps	8.90148 %
