	rtscts	standard	datarate	verbose	rng	thr1	pkl1	thr2	pkl2
0	False	0	100	True	18	24.9854 Mbps	27.0834 %	0 Mbps	100 %
1	False	1	100	True	23	25.0878 Mbps	26.7847 %	0 Mbps	100 %
2	True	1	50	True	7	15.5836 Mbps	9.04048 %	9.40277 Mbps	45.4806 %
3	True	0	50	True	2	15.9235 Mbps	7.05638 %	7.9718 Mbps	53.7777 %
4	False	0	200	True	19	23.3543 Mbps	65.9222 %	0 Mbps	100 %
5	False	1	25	True	21	8.55113 Mbps	0.170685 %	5.72939 Mbps	33.5594 %
6	True	2	25	True	11	8.5493 Mbps	0.19202 %	8.58403 Mbps	0.455653 %
7	True	0	10	True	0	3.42118 Mbps	0.133369 %	3.44311 Mbps	0.158983 %
8	False	1	50	True	22	16.9743 Mbps	0.922716 %	0.0676196 Mbps	99.6079 %
9	True	1	200	True	9	17.6048 Mbps	74.3117 %	7.52953 Mbps	89.0857 %
10	False	2	200	True	29	68.3232 Mbps	0.305337 %	0.00274133 Mbps	99.996 %
11	False	2	50	True	27	17.1087 Mbps	0.138674 %	11.3007 Mbps	34.476 %
12	True	2	100	True	13	34.1588 Mbps	0.312008 %	32.7443 Mbps	5.07047 %
13	False	0	25	True	16	8.53925 Mbps	0.309366 %	0.00274133 Mbps	99.9682 %
14	False	2	25	True	26	8.54656 Mbps	0.224024 %	5.73304 Mbps	33.517 %
15	True	1	25	True	6	8.56301 Mbps	0.0320034 %	8.59682 Mbps	0.307301 %
16	False	0	10	True	15	3.42484 Mbps	0.0266738 %	2.29541 Mbps	33.4393 %
17	True	0	25	True	1	8.55844 Mbps	0.0853424 %	8.57306 Mbps	0.582812 %
18	True	2	200	True	14	68.3031 Mbps	0.334671 %	0 Mbps	100 %
19	True	2	10	True	10	3.42301 Mbps	0.0800213 %	3.43946 Mbps	0.264971 %
20	True	0	100	True	3	13.4133 Mbps	60.855 %	11.2376 Mbps	67.4208 %
21	True	1	100	True	8	15.5388 Mbps	54.6521 %	9.33515 Mbps	72.9363 %
22	False	1	10	True	20	3.42027 Mbps	0.160043 %	3.44037 Mbps	0.238474 %
23	False	1	200	True	24	25.6013 Mbps	62.6435 %	0 Mbps	100 %
24	False	2	10	True	25	3.42393 Mbps	0.0533476 %	2.2945 Mbps	33.4658 %
25	False	0	50	True	17	17.1297 Mbps	0.0160009 %	0.00274133 Mbps	99.9841 %
26	True	1	10	True	5	3.42393 Mbps	0.0533476 %	3.42484 Mbps	0.688924 %
27	True	0	200	True	4	14.1115 Mbps	79.4091 %	9.91083 Mbps	85.6339 %
28	False	2	100	True	28	34.242 Mbps	0.0693352 %	0.00274133 Mbps	99.9921 %
29	True	2	50	True	12	17.1151 Mbps	0.101339 %	17.1416 Mbps	0.609304 %
