	id	rtscts	hidden	tcp	datarate	packetsize	verbose	rng	thr	rtr
200	63caae89-51d6-4e8c-a0ba-7dbd6da06541	True	True	True	20.0	1000	True	68	8.92069	142
201	1c7e2d48-a916-4eef-96d0-3650c1148664	False	True	True	10.0	1000	True	324	7.879580000000001	1760
202	0ba33557-f889-408b-81a3-9c30d6a0bccb	True	False	True	1.0	1000	True	149	2.20514	0
203	58886f87-b25f-4264-82ff-b202d1b95e7e	False	False	True	1.0	1000	True	420	2.20514	1479
204	c5b1dfa0-8391-4b55-822e-407cfafb0954	False	True	True	5.0	1000	True	303	4.83485	993
205	a23e2a1b-56a2-4e12-a321-e290c80ed71e	False	True	False	15.0	1000	True	407	5.26007	2520
206	a0144a99-66bf-4323-9096-9a4f3bdf875e	False	False	True	7.5	1000	True	455	12.249410000000001	2880
207	0004eace-da6c-44c0-aa69-1f73e57638a9	False	True	False	20.0	1000	True	415	6.429530000000001	2504
208	dbaa359e-48d2-4963-9886-8083845e94ae	True	True	False	10.0	1000	True	112	18.87408	213
209	c8e4d0c0-49b9-440c-ae9c-92e1297ec2ae	False	False	False	5.0	1000	True	512	10.26849	3405
210	9ba6d85d-c6c1-43cb-af8b-311e0f0fe199	True	False	True	15.0	1000	True	195	9.21827	0
211	1c05ea10-89a3-4ac0-b24f-ef15d538864c	False	True	False	20.0	1000	True	410	6.35057	2487
212	c300d0bb-0c6b-4ed3-87ea-5eb2e109a1a3	False	False	True	10.0	1000	True	469	11.80251	2730
213	92ff62ab-b5fb-4c21-93fe-24f19c798184	True	False	True	2.5	1000	True	157	5.51892	0
214	9c550c74-0821-4d25-9dc8-ac1d7304a553	True	True	False	10.0	1000	True	115	17.84115	252
215	4cc76696-4514-447c-b2ba-fc4f4ee50582	False	True	False	2.5	1000	True	368	2.5625999999999998	2950
216	2dcf37ae-5a34-4ea9-b6d8-ed7b593e54d5	False	True	True	2.5	1000	True	297	3.52217	947
217	4e79e410-bf49-41ea-a385-c9636a333722	True	True	True	20.0	1000	True	65	9.08521	135
