	id	rtscts	hidden	datarate	packetsize	verbose	rng	thr1	rtr1	thr2	rtr2
142	f0193088-59a1-4b01-8450-1217946471b4	True	False	17.5	1000	True	161	11.5268	0	14.9118	0
143	bc846e41-76da-4030-9b8a-2f7e418bf5bf	True	True	10.0	1000	True	45	7.04797	117	10.2784	0
144	33e0123d-ddfd-4320-bc6c-163556714a50	False	True	20.0	1000	True	263	4.44425	1183	15.8164	745
145	c1f70575-87c0-4979-bbab-75d3d8f7e0e7	True	False	2.5	1000	True	101	2.56918	0	2.56918	0
146	761f408f-915f-42a2-876f-16b15bce0a76	True	True	15.0	1000	True	67	7.70918	51	15.3953	0
147	08dbbed1-21aa-489a-b1ce-484022259fdc	False	False	10.0	1000	True	315	10.2784	4054	10.2751	60
148	5dde68ac-0491-4649-a97d-d5137add15a8	True	False	20.0	1000	True	177	11.4873	0	14.8904	0
149	7b2a7dcb-2e09-4ac2-b090-db5b43fabe2c	False	False	17.5	1000	True	343	16.5845	1019	17.1421	2
150	91191341-4c31-432c-8a06-f22e12e86501	False	False	5.0	1000	True	298	5.13178	3055	5.13671	1
151	494bffed-4e44-49e5-b520-bd9fb26d767c	False	True	7.5	1000	True	215	2.45569	1046	6.14662	636
152	c41c29e3-bc3a-4a8a-8979-27793cb29fd9	True	True	15.0	1000	True	62	8.0332	40	15.3953	0
153	46422045-1dce-4c45-9fda-138025d4538b	True	False	5.0	1000	True	117	5.13836	0	5.12849	0
154	e36fc009-fb44-4f9c-ac6b-262ef468e40a	False	True	5.0	1000	True	200	1.57901	1067	4.10542	453
155	0cddcdf6-a650-428d-8e93-e36f6f4c9df4	True	True	15.0	1000	True	63	7.4822	46	15.3739	0
156	6d251bbe-9403-45f2-addd-d6d4a40d3cc5	True	True	17.5	1000	True	77	5.96404	76	17.6586	0
157	c9377a8f-4d7b-42fd-90ba-8aa5b6b01613	False	False	12.5	1000	True	326	12.8344	1254	12.8442	63
158	e96aedfc-9d6d-4c1d-89f5-2ad8735c143a	False	False	20.0	1000	True	357	17.6125	1192	19.3165	2
159	68aa100e-ca3d-4e87-a73a-64bdd9157753	False	True	17.5	1000	True	250	0.94905	1342	17.476	890
160	17573c70-3449-4f7c-946e-0aea86b32bca	True	False	1.0	1000	True	98	1.02636	0	1.02636	0
161	dafb4ed3-03a1-423d-bb92-1c8de8efb868	False	False	15.0	1000	True	334	14.5071	911	15.4101	0
162	80c1e692-8353-4e93-9216-d643ac62c8d2	False	True	1.0	1000	True	181	1.02636	627	1.02471	0
163	03cb5370-e4a7-402a-a4fb-0dfe15ba282d	True	True	1.0	1000	True	4	1.02636	0	1.02636	0
164	c561a4a6-4a60-48d5-a13e-947a9115871a	True	True	5.0	1000	True	22	5.13836	20	5.13178	0
165	529c93a7-c28a-455a-9b9a-a390c519b701	True	False	2.5	1000	True	102	2.56589	0	2.56918	0
166	12a51219-656f-4e5b-a4e2-ea7b8d8e8593	True	True	5.0	1000	True	28	5.0923	8	5.13507	0
167	373d0d41-4ebe-492f-ae8e-e6133a615ee7	True	False	2.5	1000	True	105	2.56918	0	2.56918	0
168	50674b45-fe5b-4b14-b0ed-4a0ba362724c	False	False	20.0	1000	True	353	16.6503	1224	19.1405	1
169	601504d6-c3e2-4964-a00e-558b566d6717	True	True	2.5	1000	True	10	2.56095	5	2.56918	0
170	9518569d-0432-42e8-b06e-c205f6dd6705	True	False	7.5	1000	True	120	7.69273	0	7.7026	0
171	edfec0b9-eedb-47eb-a062-c9ca12bb9d85	False	False	5.0	1000	True	295	5.13836	3021	5.13342	2
172	a360391b-bc71-4d4c-855b-2d4346e54917	True	False	15.0	1000	True	158	12.1041	0	14.1864	0
173	be3865f9-9ed9-4cfc-88bd-ff97ee6a79b2	True	False	12.5	1000	True	143	11.5185	0	12.3344	0
174	0a5e0bb2-8edf-4b8d-9efb-6ef847fb1755	False	False	10.0	1000	True	312	10.2586	3932	10.2734	16
175	b1cb4372-957e-4610-8bed-71c2c17eb761	True	False	1.0	1000	True	91	1.02636	0	1.02636	0
176	0942138b-32d6-4337-b0b0-a5a45b947afb	False	True	12.5	1000	True	233	4.61695	1259	12.7554	989
177	a38aaa29-3b3c-444f-bd61-661a5800cef4	False	False	10.0	1000	True	318	10.2586	3864	10.2734	19
178	0e42fd8d-1ac3-490c-b74f-78756be9eb75	False	True	17.5	1000	True	251	0.939181	1314	17.3872	829
179	62864769-4f2b-424a-9ec8-36aa9d239756	False	False	1.0	1000	True	273	1.02636	623	1.02636	0
180	a65711b4-8114-4c97-a5f6-3d35c7b2e869	True	False	5.0	1000	True	113	5.13507	0	5.13836	0
181	b9cfdda7-ea70-4f0f-bd4d-7ced5ba4f374	True	False	7.5	1000	True	127	7.70918	0	7.69108	0
182	cb2a54f4-6c7c-450c-a386-70b3f2408730	True	True	17.5	1000	True	71	0.608576	22	17.9398	0
183	559ac87f-2d9a-4ff8-85bd-0f367547a63a	True	False	12.5	1000	True	146	11.4889	0	12.4051	0
184	7c275253-559b-4329-9ce4-ce35cb12e8ff	True	False	15.0	1000	True	150	12.1041	0	14.1848	0
185	d2a0fc32-ff9e-4d39-9327-a5e66fc380e6	False	True	1.0	1000	True	185	1.02636	624	1.02636	0
186	bedf39a4-ec9b-4984-8c37-dcfc54541949	True	True	15.0	1000	True	69	8.18288	43	15.4036	0
187	516ca5cb-7e24-40af-b670-9b83301d7555	True	False	20.0	1000	True	174	11.2488	0	15.1141	0
188	4983da64-94fd-4b93-a66a-a3d04ea826eb	False	False	7.5	1000	True	306	7.70753	4212	7.69766	32
189	c012b119-285b-4a8e-895a-935c868fa597	True	True	7.5	1000	True	39	7.67464	121	7.70918	0
190	eca43ec7-f731-4788-b30f-55335a134ee9	False	False	17.5	1000	True	346	16.4447	983	16.9678	3
191	e1d61c32-e36d-48f4-aa93-8521236b158e	True	True	15.0	1000	True	66	7.3062	59	15.42	0
192	89dc1ad7-ed26-456e-bf05-78a7b51e58a4	True	False	7.5	1000	True	126	7.70918	0	7.70589	0
193	4eb3b24a-db70-41db-95c5-cf07c0fdb836	False	False	10.0	1000	True	314	10.2603	3701	10.2767	13
194	858796d6-b933-427c-bef7-2be5893ab4d1	False	False	5.0	1000	True	290	5.13342	3028	5.13836	0
195	432ec01c-5989-457d-b906-b2e869e10099	False	False	12.5	1000	True	325	12.8442	1273	12.8262	56
196	85c72f65-69db-4ee4-859b-79b7f9f0891c	True	True	12.5	1000	True	58	3.72547	75	12.8311	0
197	c8cfef18-42e8-4870-a745-8d5e4b38e758	False	False	2.5	1000	True	286	2.56918	1547	2.56918	0
198	7ae201b4-5fb0-4180-b4d0-181147d03d13	True	True	7.5	1000	True	34	7.69931	134	7.70918	0
199	240b3654-f360-49c2-9bc8-1b0e59c3cdc3	False	False	5.0	1000	True	293	5.13178	3035	5.13836	1
200	e10fbf11-c13d-4fe9-80f7-14e0cfc9e02b	True	False	17.5	1000	True	168	11.4133	0	14.9644	0
201	c77ca3ab-f995-47bb-ae08-dd0e1932e1b7	True	True	17.5	1000	True	75	1.16945	29	17.9662	0
202	6796afc4-4eed-400b-aad7-fb8b5c016ffe	True	False	7.5	1000	True	122	7.69931	0	7.69602	0
203	81397cda-35ce-4004-b9e4-414fd86e9166	True	False	15.0	1000	True	157	12.1666	0	14.1683	0
204	e2095c47-c9e9-4606-bac2-4362613ed71b	False	True	5.0	1000	True	207	0.513178	1044	5.13671	449
205	23b4a2db-c392-4de8-93ed-25338990a497	True	False	1.0	1000	True	90	1.02636	0	1.02636	0
206	7d9f2c6d-d2c9-41b9-b733-824009076cea	False	True	17.5	1000	True	252	1.00662	1093	17.3954	733
207	86377056-c55d-4609-9849-a70d5f050ac2	True	False	5.0	1000	True	118	5.13178	0	5.13836	0
208	1854ffd8-cd0c-4d92-83c5-0598f17158fc	False	True	12.5	1000	True	239	4.61366	1251	12.739	1036
209	f7ba4e46-77f1-4f1d-8568-75d89448ea79	False	True	17.5	1000	True	255	0.621734	1093	17.5813	752
210	6293e16a-dadf-43f0-9c10-1cbb28a141f3	True	False	20.0	1000	True	171	11.1682	0	15.2193	0
211	c780ff6d-9bd0-48c9-b611-a3ae1d1569f6	True	True	7.5	1000	True	38	7.64668	128	7.70918	0
212	075d98cc-b97c-42b7-a63c-f4062168d901	True	False	2.5	1000	True	108	2.56753	0	2.56918	0
213	41811a37-835a-4537-8c30-db8733d4b0f3	True	False	7.5	1000	True	121	7.70753	0	7.69766	0
214	80a78dd9-6ea3-4527-9338-eb92595e74bf	True	False	5.0	1000	True	112	5.11697	0	5.13507	0
215	036ab9c2-e4e7-4449-bd51-f595b70ef009	False	False	1.0	1000	True	270	1.02636	624	1.02636	0
216	82859f5e-4246-472f-8fdd-303313f04c05	False	True	2.5	1000	True	196	0.435872	1386	2.5626	607
217	85f8a3a4-86f1-42dd-af38-fcd828e6d476	True	False	20.0	1000	True	175	11.2521	0	15.1141	0
218	c7c32498-bd43-48e5-b6ce-bd7716e5c574	True	True	5.0	1000	True	26	5.13671	11	5.12684	0
219	dc59a74e-f5d1-4487-a97a-290d941bf90c	True	True	20.0	1000	True	84	0.368435	22	19.6159	0
220	cdb5c181-7a24-4501-aff8-2147334be34a	False	False	17.5	1000	True	345	16.4941	1059	16.9332	5
221	ff54f507-9168-49fa-9d25-5d26e638f263	False	False	17.5	1000	True	340	16.6256	1086	17.2128	2
222	cc625d8e-85c6-460d-b532-5bf53ec72a63	False	False	5.0	1000	True	296	5.13836	3020	5.13013	0
223	df0317d4-6ad6-4e52-a6da-3ccf83c5535e	True	False	20.0	1000	True	179	11.3261	0	15.0861	0
224	6da07872-c371-44b9-ba7a-e95ad2d277d3	True	False	2.5	1000	True	106	2.56918	0	2.56753	0
225	9c18507d-64fb-444c-aa01-bc53302595cf	False	True	15.0	1000	True	248	9.00364	987	12.2801	656
226	c071619d-3b4f-4729-967d-529d3b9ebe0e	False	False	20.0	1000	True	359	17.5105	1204	19.3067	1
227	67e6c423-5ede-4524-a364-a3ffefd3ebf4	True	True	12.5	1000	True	53	6.6417	89	12.8492	0
228	355c950a-cd24-456d-b487-580e4d18f60d	False	False	15.0	1000	True	339	14.489	939	15.3953	1
229	a365715f-50f1-4316-999a-7781f28da06f	False	True	15.0	1000	True	243	6.81112	1275	15.3295	804
230	7f6fb6b0-2a6d-4657-92b0-926cede96e16	True	False	10.0	1000	True	134	9.93459	0	10.2784	0
231	00d1be91-4e69-4b63-a829-346a7e65990d	False	True	2.5	1000	True	190	0.396397	1397	2.56753	600
232	1a6fdab0-a2bd-4446-84e7-b1cccc5aa96f	False	True	7.5	1000	True	218	1.00662	1306	7.66477	828
233	ce59ad6d-2d35-4f99-b9c5-e4054188eb6f	False	True	17.5	1000	True	253	0.957274	1265	17.9069	770
234	228bd1a0-6690-4675-b416-67ceecba9052	True	True	7.5	1000	True	36	7.69108	124	7.70589	0
235	29106ab6-df6e-43e1-affa-e7bd47397e93	True	False	2.5	1000	True	104	2.56918	0	2.56918	0
236	f08f7a59-8249-4ec3-8149-8b82adbc4bd5	True	True	5.0	1000	True	24	5.13836	8	5.13671	0
237	9fbda3a8-b9bf-4440-bed7-c19ae7c64c43	False	True	2.5	1000	True	195	0.424358	1379	2.56589	601
238	abd7a27c-1f16-4445-acd5-b4bc22fc45f4	True	True	1.0	1000	True	7	1.02636	0	1.02636	0
239	bfca4e9d-b60f-4587-9798-8db7c85221ff	False	False	12.5	1000	True	324	12.8229	1233	12.8492	59
240	8a56d54c-85fa-4e94-b968-a4d885605bd0	True	False	12.5	1000	True	140	11.5794	0	12.3524	0
241	817f1fb8-2bbf-4da8-82c0-ad5fe8a17831	False	True	15.0	1000	True	246	5.75022	1013	15.3624	752
242	f283f48d-a4c5-4481-bc23-47c2fecdb82b	False	True	12.5	1000	True	231	4.55116	1280	12.7669	1037
243	11a90958-8dfd-41b9-984c-958b56f11b65	True	True	5.0	1000	True	25	5.13013	6	5.13342	0
244	c8721ab2-027a-4d9b-9eef-ded8bd03e5d2	True	False	12.5	1000	True	147	11.5004	0	12.3245	0
245	470e3c71-1205-4694-af88-1fc8ecf972f4	True	True	10.0	1000	True	44	6.82592	98	10.2636	0
246	4ec8351c-4309-4798-bb94-edd3ac6223fe	False	True	10.0	1000	True	229	2.19087	1014	10.2027	800
247	c94fa2ec-fbb2-4cb0-b1f7-66dc0cda33aa	True	False	20.0	1000	True	178	11.2833	0	15.091	0
