	id	rtscts	datarate	packetsize	verbose	rng	thr	rtr
0	b8f5580f-b3a0-4431-8bb8-bd143fd907b6	False	1.0	1000	True	467	2.05272	638
1	db666ee9-95e1-4f11-8703-885227277696	True	2.5	1000	True	119	5.13671	4
2	73de6bd1-2e30-4de4-9aa7-1af47a6244ed	False	1.0	250	True	431	2.22223	2498
3	55c423cf-86e2-436e-8337-22dac4e87849	False	2.5	1500	True	541	3.0095520000000002	1598
4	adcf7ebb-adc5-447e-93ce-2297192a3d41	True	1.0	250	True	11	2.22223	0
5	cdb3e622-f6be-41eb-8bd7-70a945a923cb	True	5.0	1000	True	189	10.24875	6
6	5a348a94-fe05-43d7-8e95-e4baf6afa50a	True	5.0	750	True	177	10.36047	17
7	a9503a6c-ca8d-4b9d-b2be-962efabd1bdb	False	5.0	500	True	580	6.51256	2736
8	29a7cded-ab24-4d30-9b39-e020b36bcef6	True	15.0	1500	True	406	22.71224	114
9	1e83bf0a-7f29-43ad-b464-fb53698e2c0d	True	2.5	2000	True	138	5.06838	3
10	65bcb61d-9e60-426c-b8fc-d5d884459bc5	False	2.5	1500	True	544	2.994877	1307
11	4b4fbd6a-d366-42ca-bc62-a7701c1e9430	False	7.5	750	True	660	9.40446	2003
12	eecc668e-8953-47ec-b3b5-a3851fc4e824	False	1.0	500	True	444	2.11032	1358
13	a0d9ea69-ac56-4729-a177-0432a59a65fb	False	10.0	2000	True	764	11.155619999999999	1242
14	5a6cc030-d296-4444-bc16-df234ea4c145	False	10.0	500	True	721	16.776	2651
15	41d0499a-6d1b-45ce-8e54-b8a531611869	True	7.5	500	True	237	13.07582	38
16	686b51a5-41ad-483c-8a30-d2b82bae502a	True	2.5	1000	True	116	5.13507	4
17	92acd79e-8d88-45b3-a078-5b4442860303	False	15.0	750	True	808	16.086542	2405
18	1d11e313-8126-4bbc-b304-42feb32795af	False	15.0	2000	True	838	16.70424	1657
19	e64cbe93-6a76-4833-a13c-788884898e4f	True	10.0	1500	True	332	20.3431	149
20	1663d026-85ed-43a0-9383-c826bf7c1bd3	False	1.0	500	True	448	2.11032	1247
21	203e4982-d069-495c-b84a-abc12bec31e3	False	15.0	2000	True	836	16.65556	1668
22	c3f0d928-936f-4b88-9da4-f29b516ed449	False	2.5	250	True	500	3.624676	2885
23	16f562ba-f50f-44cd-8487-51e06f6e26a9	True	10.0	125	True	289	5.107265	6
24	163263d7-9ed1-49a7-b73c-60f927fb866d	False	2.5	1000	True	537	2.963932	1978
25	fc77261c-1944-402a-82ba-37df03f62c6a	True	7.5	250	True	222	8.309305	19
26	de63f2a9-22bc-4864-a761-05ac6567246a	False	1.0	750	True	451	2.07384	832
27	b7b74554-e3c1-4999-9494-b2a591601659	False	10.0	250	True	712	11.143175	2983
28	f500192a-43e2-4421-a4ca-5829441f9da5	True	5.0	2000	True	209	10.133510000000001	5
29	427d7fcc-32e9-411e-9fc3-d945fb7f22b5	False	2.5	1000	True	532	2.954058	1612
30	dbc76039-a40d-43b6-915c-eb3c7bf6535b	True	5.0	125	True	144	5.118275000000001	2
31	dfaa1201-5441-4f4d-9fb7-14aff43fa497	True	7.5	1500	True	268	15.27023	22
32	402dd2a8-23fd-4c01-80fd-25fb8e91ebd9	True	1.0	125	True	0	2.4458	2
33	6cc6429c-bd3a-45b1-a877-c46c73867e9a	True	2.5	250	True	80	5.54532	16
34	a51d05fa-4e93-40a7-866d-0938dd2aa259	True	10.0	1500	True	330	20.360300000000002	165
