	id	rtscts	datarate	packetsize	verbose	rng	thr	rtr
489	d6e99750-e46d-4710-929d-bb5b908d6485	False	15.0	1000	True	816	29.2101	2035
490	d487bfc0-d16c-4431-81d6-b7dc602336bc	True	2.5	1500	True	125	5.09008	0
491	f11139cd-9bd1-45c3-b80d-7e97793d0ffe	False	15.0	500	True	798	23.8504	3632
492	e546418e-f805-4a89-97db-146d7850cce7	False	15.0	750	True	805	28.6553	2888
493	e831990c-c11c-4603-8846-5ae5d44a29a9	True	5.0	250	True	157	9.32612	0
494	5b7222a9-83cb-4984-b9bd-d1e4520f798d	False	10.0	250	True	719	15.17969	4255
495	d297a908-9a19-4890-ac6a-a2fc39022316	True	7.5	125	True	218	5.41913	0
496	b85f787e-7636-405b-bdfb-995bdb6b5706	False	5.0	250	True	579	11.10088	3049
497	fb618dfd-7d0b-495b-bf5d-fd428d545ff9	True	15.0	125	True	355	5.41277	0
498	dacd898b-9cb4-455e-8983-be17226329f6	False	2.5	1500	True	547	5.09008	1240
499	52d706b4-bdfa-4056-bf4e-dee6515a9712	False	15.0	500	True	792	23.9991	3457
500	f497eebc-2170-4ff3-ab51-7117f7507619	True	15.0	1500	True	404	27.6532	0
501	03f42e55-1f10-408f-b0b1-0bab095f086c	True	10.0	1000	True	325	20.4119	0
502	05bbaffe-26ec-4004-870c-5a5811193a13	False	2.5	2000	True	557	5.06838	1062
503	2a1730b9-c648-4b30-a804-3acba76247a8	True	2.5	500	True	92	5.27578	0
504	9974aead-b422-4b11-b9a1-5e593e902540	False	1.0	1500	True	470	2.03408	850
505	f7430949-0ea2-4793-84c7-f1be74c18ec7	True	7.5	250	True	225	9.345690000000001	0
506	e3bd6b7c-da93-4719-89e4-0c13de815384	False	1.0	2000	True	483	2.02476	642
507	f7f46dff-fbe5-4141-902d-b96f66716cf7	True	10.0	250	True	297	9.33947	0
508	8bb543bc-f802-4551-9407-9a0b5047c434	True	15.0	1500	True	406	27.6311	0
509	1a04ba27-1122-4303-bb90-91ba5a162e8b	True	1.0	500	True	21	2.11032	0
510	c3978b45-d87d-4b75-96b5-02f963155836	False	7.5	500	True	657	15.83071	3627
511	d418a5b3-21b4-49f6-b0c2-f6a778c6715c	False	7.5	2000	True	698	15.20514	2752
512	18cd47f5-ad8b-4fd4-a635-bd18be4fd48e	True	15.0	1000	True	395	25.5437	0
513	b2e9ea5c-74e9-4b28-9d46-58e8c41c3064	False	15.0	1000	True	812	29.164	2136
514	74d6d135-62c5-4290-aeda-6973196f041a	True	5.0	125	True	149	5.40347	0
515	1c876898-b283-44dc-af81-ac5628b7df9a	True	10.0	125	True	285	5.40274	0
516	9c3655a9-813d-407b-9a9e-562995032733	True	10.0	125	True	282	5.38462	0
517	d201c995-c382-48f8-855f-2bd22bfd75e9	False	1.0	2000	True	488	2.02476	640
518	4d63f5a0-83e1-4bae-9eed-43319c5c5674	True	15.0	125	True	356	5.4122900000000005	0
519	e587df10-0d7d-43b7-aafc-961266a04013	False	15.0	250	True	786	15.163229999999999	4205
520	6229c525-c3c6-465b-b3df-b50394db97bc	False	2.5	2000	True	550	5.06838	1066
521	e7a6a8ed-bb2f-4d50-aa02-ab4bb0bb4af7	True	1.0	250	True	18	2.22267	0
522	7141d9dc-1d7a-4880-bebc-908f3058f0a0	True	5.0	500	True	168	10.54902	0
523	feb09760-30f5-4ced-9721-07e68c440ca4	False	10.0	125	True	708	9.20448	4629
524	2c8a10c0-899f-428c-937b-ba1b4f153fdb	True	2.5	2000	True	133	5.06838	0
525	29a9e428-8430-46db-ae07-d2dc240d9d4b	False	10.0	750	True	734	20.7209	2510
526	04f633e4-8ca8-4fc7-9d31-45fb0c05afc4	False	5.0	2000	True	622	10.12702	1774
527	fcfa6a2c-45fd-40cd-bb5a-20f4caf22357	False	5.0	125	True	563	9.190529999999999	4687
528	c9f5cf34-e866-41ff-9ec2-b01045b78005	False	15.0	125	True	778	9.190529999999999	4738
529	0687ee60-6688-41ba-bd61-ec994e2e5100	False	5.0	250	True	578	11.10443	3060
530	33f63576-1d0d-43a7-bc8a-c3c2fa6f23f4	False	2.5	125	True	497	6.11707	4202
531	794652ca-0102-41e5-aeb4-7b674d5898bc	False	7.5	500	True	656	15.81634	3454
532	cae7b3bb-fd00-41c0-b7ba-6dba6e8fd76d	False	7.5	2000	True	695	15.1954	2765
533	6615e34f-469f-4a5e-b69d-f9f8dfd8e534	False	10.0	500	True	729	20.182299999999998	2908
534	d4847497-625b-451d-aed2-869c5eaac10d	True	7.5	500	True	238	14.71304	0
535	e9d96071-0bb0-4031-8972-53638991e6be	False	10.0	500	True	726	20.0572	2921
536	1f992f2e-fbf3-4292-8842-7ce880536991	False	7.5	1000	True	677	15.41177	4144
537	c838af7d-a415-4ea1-a579-c38e2da26149	True	10.0	250	True	295	9.31589	0
538	1ff89a61-8149-4151-b570-3091306fd785	True	1.0	2000	True	60	2.02476	0
539	c6677932-282a-4cb8-9041-8a431e5bf9a2	False	10.0	1500	True	750	20.3407	3257
540	9f472124-f1c0-4845-a519-a536b37a208c	True	7.5	250	True	229	9.311440000000001	0
541	54ff07ae-ec91-42f2-92c5-75b0aac4f0ab	True	5.0	1000	True	180	10.27014	0
