	id	rtscts	datarate	packetsize	maxrange	nstations	verbose	rng	thr	rtr
677	39df51ff-4985-4063-9c19-38ca6d6e07d5	True	2.5	1000	25.0	3	True	11	7.70754	0
678	1c1d1160-f406-4643-b831-bf96db22100e	True	5.0	1000	50.0	4	True	146	20.333019999999998	0
679	adf28f30-095b-4d40-b802-53e080a5c2f3	True	20.0	1000	50.0	4	True	328	25.77237	0
680	bb999893-30c7-45af-b8fe-d08fa1ccb87f	True	20.0	1000	125.0	2	True	337	25.6573	0
681	c799d364-8145-4e40-853b-c431b89935ec	False	20.0	1000	50.0	3	True	677	26.18686	8945
682	b8318fb4-d60b-4165-a4b6-9c259fe63c16	True	5.0	1000	50.0	2	True	125	10.26356	0
683	a7558ec5-bd8f-4e54-9f3f-32fd087d7eff	False	20.0	1000	125.0	3	True	709	24.64239	8632
684	543ff904-3431-4479-80e4-6ccd25723af8	True	2.5	1000	50.0	2	True	37	5.13506	0
685	0bffc063-e96b-4347-a6b2-9c22e520884f	False	2.5	1000	50.0	4	True	414	7.33251	4444
686	a807d29a-0450-4e30-94be-08cb7131bc20	False	20.0	1000	50.0	2	True	667	34.6576	5076
687	3d1e2bf3-e459-43a9-88e2-17809f7261b2	False	20.0	1000	125.0	3	True	706	24.36114	8431
688	ace7b0f6-1544-488b-a25c-679e8c264243	False	20.0	1000	125.0	3	True	708	26.33983	8775
689	43098c51-95a6-4d79-9101-ac44f4ca55a9	True	10.0	1000	50.0	3	True	228	22.37256	0
690	9ed1fe02-1670-43d0-97b6-df7f42adcd1c	True	20.0	1000	25.0	2	True	270	25.663800000000002	0
691	ec137b78-e70b-402b-9827-1d7963414ffb	True	2.5	1000	25.0	2	True	7	5.13836	2
692	76012f4c-081a-4c56-9096-b0331f883c60	True	10.0	1000	125.0	2	True	242	20.3922	0
693	dc2e3c1b-0cd0-468c-82ae-57fe5e3153b6	False	20.0	1000	125.0	2	True	692	34.8845	5098
694	cbdc456b-562c-45eb-961d-b7f92da2b8d8	False	10.0	1000	125.0	3	True	618	20.99752	7148
695	cf364b96-9062-464a-a493-9b97b525bbfe	False	5.0	1000	25.0	2	True	453	9.75531	5824
696	3d4c2132-b6c4-4960-b08c-531bc726ddd2	True	10.0	1000	125.0	3	True	254	22.3002	0
697	71b1f428-78a8-4dc0-acb5-0a18dcd9fe0b	False	10.0	1000	25.0	4	True	563	10.04973	5627
698	55c2bec1-5708-4d3a-8419-0b918ed4a0ed	False	5.0	1000	50.0	4	True	506	8.58257	5023
699	7e61a89f-209c-415e-9b50-45c421452472	False	20.0	1000	25.0	3	True	646	24.36607	8471
700	d7735cca-006b-4ecc-b238-7238bba4dc71	True	20.0	1000	125.0	2	True	331	25.5964	0
701	1e51063d-6866-4c52-8edc-cacc29e01795	True	20.0	1000	125.0	2	True	334	25.7098	0
702	794e5b37-81ff-4448-abb5-97b8afc455b3	False	20.0	1000	50.0	3	True	670	25.37434	8766
703	7fcb7cae-9d77-4156-8075-297399c1d11f	False	5.0	1000	125.0	2	True	514	10.27178	6644
704	4c5386ba-544c-431b-8c20-dacaff5c07cd	False	2.5	1000	25.0	2	True	363	5.1317699999999995	3014
705	7275875a-5edc-4658-ac20-080e466998cb	False	5.0	1000	25.0	4	True	478	8.40822	5108
706	6e95d4d4-0a26-4dc9-8968-60586999855c	False	20.0	1000	25.0	4	True	650	8.00524	4592
707	7167df42-fa03-47fa-8929-df5fde61bf3b	False	10.0	1000	50.0	3	True	586	20.83468	7063
708	c0d0c866-8e3f-49ea-8e1c-ae50512c0bc6	False	20.0	1000	50.0	4	True	685	8.48058	4967
709	90a005ac-80d5-4e33-a231-4fbc7bcd8147	False	10.0	1000	25.0	3	True	555	19.75734	6823
710	b1984569-5db9-49bb-b21b-2637b1677c08	True	2.5	1000	25.0	4	True	26	10.27343	0
711	b8f21b6b-a6d4-4fd7-8879-57d1e61f4582	False	2.5	1000	25.0	3	True	372	7.70424	5415
712	8e2ba1a4-451e-48b8-9e11-7862d90d62f3	True	10.0	1000	125.0	2	True	247	20.4531	0
713	f86cfebf-41b5-4403-8411-02614c86fbf5	False	20.0	1000	50.0	2	True	661	35.1477	4709
714	1f89cf3e-cd08-4224-b1d1-431e4b7d32ca	True	2.5	1000	125.0	4	True	89	10.270129999999998	0
715	c8eb8b20-f668-4383-b67e-29c4e448eca8	False	10.0	1000	50.0	3	True	585	21.90709	7354
716	08e97cde-fc1e-43b5-9626-5df7abc8ab6f	True	2.5	1000	25.0	4	True	20	10.261909999999999	0
717	e293c443-a15a-4164-af37-f99a4db5ceb1	True	10.0	1000	50.0	4	True	233	22.482770000000002	0
718	513a382f-aa74-4f5a-b671-bc839158e07c	True	20.0	1000	25.0	3	True	288	25.619410000000002	21
719	903a4d75-17fe-4879-b4c0-0f3a6385b0de	True	20.0	1000	50.0	3	True	314	25.834869999999995	0
