	id	rtscts	hidden	datarate	packetsize	verbose	rng	thr	rtr
458	80e06d91-8a50-45be-bbb5-6ee16255d585	True	False	15.0	500	True	226	16.49388	0
459	565fe418-1762-4e38-8202-23e8d9233dfb	False	False	15.0	500	True	466	24.0058	3585
460	d64b767b-9043-4551-a346-445596dceb68	False	True	5.0	1000	True	291	9.251999999999999	64
461	2d2957e4-b4f8-4eda-addf-0491638ee83f	True	True	15.0	500	True	107	17.69856	5
462	413eb7c8-7d44-4668-85af-0de706372d1d	False	False	2.5	500	True	386	5.27747	1485
463	1e5d456c-2174-499a-b7ee-fe6d568aba37	False	True	2.5	500	True	263	5.272399999999999	35
464	6f4e2221-f174-4a59-a505-de239a203bde	True	False	15.0	1000	True	234	26.2806	0
465	ad59545d-ab25-4f8a-9799-d7299c394436	True	True	1.0	1000	True	17	2.05272	0
466	51921472-eb55-4a3b-a238-7ad4f1625102	True	True	2.5	1000	True	31	5.133419999999999	311
467	2b840d4a-2120-4f08-b0ae-d39f756d1fc9	True	True	1.0	1000	True	13	2.05272	0
468	12a44276-db01-4e83-a69f-91aa8cdc2bd2	False	False	7.5	500	True	425	15.81212	3456
469	e0a5e7bf-37b3-4148-92db-70468e515ede	True	False	10.0	1000	True	213	20.542	0
470	a3702aa9-91cf-4bee-bbf2-4fdbd9f16fb1	True	True	7.5	500	True	61	15.04335	4
471	6514f8f1-f938-4c4b-93f2-e7bf3e664e89	True	False	10.0	1000	True	211	20.5502	0
472	adcac028-bcfe-4752-ac6d-0dbb2195fff0	False	True	15.0	1000	True	353	30.7791	14
473	abae31a8-d28e-4687-9085-a82a3a838303	False	True	7.5	1000	True	318	15.38053	4
474	779e91bc-c376-41ef-89da-1c532fa90af6	True	True	5.0	500	True	43	10.53551	6
475	005ea62b-a78e-4a6f-ac7b-39dfb083e3cb	False	True	10.0	500	True	326	21.0828	10
476	4cb690d6-51ce-4b03-8fef-a5c7c3935bab	False	True	15.0	1000	True	350	30.7939	9
477	e56d5145-e512-48fe-bb18-8faa7c7ff968	False	False	15.0	1000	True	478	29.1508	2312
478	bc8e7671-14e5-4581-83ee-de06b5b9f439	True	False	7.5	500	True	184	14.80597	0
479	24742ff1-12c9-4d2e-b523-e51b54e5a496	True	False	15.0	500	True	229	16.489649999999997	0
